English,Compound,"Izaki Reading
(sandhi applied)"
#ERROR!,京師,#ERROR!
Bookbinder,経師,#ERROR!
#ERROR!,慶事,kyōntsi
#ERROR!,警視,keishi
#ERROR!,敬神,#ERROR!
#ERROR!,経書,#ERROR!
#ERROR!,軽症,#ERROR!
#ERROR!,軽傷,#ERROR!
#ERROR!,軽食,#ERROR!
#ERROR!,景徳,#ERROR!
#ERROR!,系統,#ERROR!
account book,計帳,#ERROR!
#ERROR!,鶏頭,#ERROR!
#ERROR!,系外,#ERROR!
#ERROR!,経蔵,#ERROR!
#ERROR!,計時,#ERROR!
Time,経時,#ERROR!
#ERROR!,敬重,keichōn
#ERROR!,軽重,keichōn
#ERROR!,軽佻,#ERROR!
#ERROR!,軽侮,#ERROR!
#ERROR!,京劇,#ERROR!
#ERROR!,軽妙,#ERROR!
#ERROR!,軽少,#ERROR!
celebrations and condolences,慶弔,kyōncho
Admiration,敬慕,#ERROR!
#ERROR!,京畿,#ERROR!
Congratulations,慶祝,#ERROR!
horn,警笛,#ERROR!
#ERROR!,鶏糞,#ERROR!
#ERROR!,経絡,#ERROR!
#ERROR!,経綸,#ERROR!
#ERROR!,経緯,#ERROR!
#ERROR!,軽罪,#ERROR!
transvaginal,経膣,#ERROR!
#ERROR!,警衛,#ERROR!
Hypomania,軽躁,#ERROR!
#ERROR!,軽輩,#ERROR!
#ERROR!,警邏,kei
#ERROR!,警醒,#ERROR!
#ERROR!,鶏鳴,keimīn
Danger,険,#ERROR!
#ERROR!,県,#ERROR!
#ERROR!,検案,#ERROR!
#ERROR!,犬馬,#ERROR!
#ERROR!,検番,#ERROR!
#ERROR!,見物,#ERROR!
#ERROR!,見台,#ERROR!
Judgment,検断,#ERROR!
#ERROR!,検眼,#ERROR!
opinion,見解,#ERROR!
study,研學,#ERROR!
Prefectural funds,県費,#ERROR!
Northern part of the prefecture,県北,#ERROR!
Prefectural,県営,#ERROR!
prefecture,県下,#ERROR!
Prefectural Police,県警,#ERROR!
#ERROR!,検校,#ERROR!
the study,研究,kenkyū
#ERROR!,県会,#ERROR!
#ERROR!,県令,kenlei
#ERROR!,県連,#ERROR!
#ERROR!,険路,konlo
#ERROR!,県名,#ERROR!
#ERROR!,賢母,#ERROR!
Prefectural Cultural Center,県文,#ERROR!
#ERROR!,県南,#ERROR!
Verification,検認,#ERROR!
#ERROR!,県益,#ERROR!
#ERROR!,検温,#ERROR!
Detection,検波,#ERROR!
#ERROR!,検品,#ERROR!
#ERROR!,検非違使,#ERROR!
#ERROR!,憲法,#ERROR!
sample,見本,#ERROR!
Ticket inspection,検札,#ERROR!
#ERROR!,研磨,kenma
#ERROR!,検査,#ERROR!
#ERROR!,研削,#ERROR!
Behold,見参,#ERROR!
#ERROR!,賢察,#ERROR!
#ERROR!,見性,#ERROR!
search,検索,#ERROR!
#ERROR!,検束,#ERROR!
#ERROR!,見習,kensēi
Vehicle inspection,検車,konsha
Kennel,犬舎,#ERROR!
Autopsy,検視,konshi
#ERROR!,検使,konshi
#ERROR!,犬士,#ERROR!
Goddess of God,見神,#ERROR!
Kashikodokoro,賢所,#ERROR!
#ERROR!,検証,#ERROR!
#ERROR!,検収,konshou
#ERROR!,研修,#ERROR!
dog breed,犬種,kentsu
#ERROR!,見当,#ERROR!
#ERROR!,県都,#ERROR!
#ERROR!,検地,#ERROR!
canine teeth,犬歯,#ERROR!
#ERROR!,県長,#ERROR!
#ERROR!,検体,#ERROR!
#ERROR!,賢帝,#ERROR!
detection,検知,#ERROR!
#ERROR!,検討,#ERROR!
#ERROR!,県議,#ERROR!
#ERROR!,県央,#ERROR!
wise man,賢人,#ERROR!
Wise Minister,賢臣,hyenjin
Prefectural bonds,県債,#ERROR!
#ERROR!,険峻,#ERROR!
#ERROR!,犬猿,kenūn
#ERROR!,検疫,#ERROR!
Meter reading,検針,#ERROR!
#ERROR!,結尾,#ERROR!
#ERROR!,血液,#ERROR!
join,結合,#ERROR!
sea ​​of ​​blood,血海,#ERROR!
tuberculosis,結核,#ERROR!
Conclusion,結着,#ERROR!
#ERROR!,血気,#ERROR!
#ERROR!,結語,kesko
#ERROR!,結局,#ERROR!
marriage,結婚,#ERROR!
blood cell,血球,#ERROR!
#ERROR!,結句,#ERROR!
blood vessels,血管,kyeskan
Conclusion,結了,#ERROR!
#ERROR!,結縁,#ERROR!
#ERROR!,血流,#ERROR!
#ERROR!,血路,#ERROR!
#ERROR!,結論,#ERROR!
#ERROR!,結膜,#ERROR!
#ERROR!,血脈,#ERROR!
flesh and blood,血肉,kyesnuku
blood test,血判,kyespan
#ERROR!,血便,#ERROR!
#ERROR!,結露,#ERROR!
taxpayers' money,血税,#ERROR!
#ERROR!,結成,#ERROR!
#ERROR!,結石,#ERROR!
#ERROR!,血色素,#ERROR!
Wiring,結線,#ERROR!
furious expression,血相,#ERROR!
nodules,結節,#ERROR!
#ERROR!,結審,#ERROR!
crystal,結晶,#ERROR!
blood book,血書,kyessho
Party Founding,結党,#ERROR!
#ERROR!,血糖,#ERROR!
#ERROR!,結団,#ERROR!
#ERROR!,血戦,#ERROR!
#ERROR!,血中,#ERROR!
#ERROR!,血闘,#ERROR!
#ERROR!,血塊,#ERROR!
#ERROR!,血尿,#ERROR!
#ERROR!,血栓,#ERROR!
#ERROR!,結氷,#ERROR!
#ERROR!,血涙,#ERROR!
#ERROR!,血漿,#ERROR!
#ERROR!,血痕,kyeskon
alliance,結盟,#ERROR!
Blood Pledge,血盟,#ERROR!
#ERROR!,結腸,#ERROR!
#ERROR!,結跏,kes
#ERROR!,結願,#ERROR!
#ERROR!,結髪,#ERROR!
air,気,#ERROR!
#ERROR!,吉,#ERROR!
#ERROR!,喜,#ERROR!
Hatatei,旗亭,#ERROR!
#ERROR!,喜悦,#ERROR!
#ERROR!,旗下,#ERROR!
#ERROR!,吉夢,#ERROR!
good news,吉報,#ERROR!
#ERROR!,喜楽,#ERROR!
#ERROR!,吉例,#ERROR!
Happy color,喜色,kiseku
Auspicious weather,吉相,#ERROR!
#ERROR!,吉事,kittsi
77th birthday,喜寿,#ERROR!
#ERROR!,喜ぶ,#ERROR!
#ERROR!,吉兆,#ERROR!
#ERROR!,吉凶,kiskyūn
#ERROR!,喜劇,#ERROR!
flag,旗幟,#ERROR!
Charity,喜捨,#ERROR!
#ERROR!,吉祥,#ERROR!
Drafting,起案,#ERROR!
#ERROR!,気圧,#ERROR!
yellow plum,黄梅,#ERROR!
norm,規範,#ERROR!
#ERROR!,奇病,#ERROR!
#ERROR!,基部,kibu
#ERROR!,基台,#ERROR!
#ERROR!,貴台,kitai
#ERROR!,気団,#ERROR!
Impact,着弾,#ERROR!
Strange story,奇談,#ERROR!
Putting on and taking off,着脱,#ERROR!
#ERROR!,起電,#ERROR!
#ERROR!,輝度,#ERROR!
airway,気道,#ERROR!
#ERROR!,黄道,#ERROR!
#ERROR!,気動,#ERROR!
#ERROR!,既済,#ERROR!
#ERROR!,機上,#ERROR!
#ERROR!,機序,#ERROR!
#ERROR!,紀伝,kiden
faint,気絶,#ERROR!
Bizarre,奇絶,#ERROR!
rails,軌条,#ERROR!
#ERROR!,期中,#ERROR!
#ERROR!,機中,#ERROR!
standard,基準,#ERROR!
Description,記述,#ERROR!
Seated,着座,#ERROR!
Machine image,機影,kiei
#ERROR!,着岸,chakuyan
strange rock formations,奇岩,#ERROR!
Bizarre behavior,奇行,kikō
basic word,基語,#ERROR!
#ERROR!,季語,#ERROR!
#ERROR!,着火,#ERROR!
#ERROR!,気學,#ERROR!
Kihei,奇兵,#ERROR!
deadline,期限,#ERROR!
symbol,記号,#ERROR!
#ERROR!,帰服,#ERROR!
#ERROR!,着服,chakufuku
#ERROR!,帰一,#ERROR!
#ERROR!,既訳,#ERROR!
#ERROR!,着用,#ERROR!
#ERROR!,黄葉,#ERROR!
#ERROR!,貴家,#ERROR!
machine,機械,#ERROR!
plan,企画,#ERROR!
#ERROR!,期間,#ERROR!
#ERROR!,貴官,#ERROR!
quarterly,季刊,kikan
#ERROR!,既刊,#ERROR!
#ERROR!,着艦,#ERROR!
#ERROR!,軌間,#ERROR!
#ERROR!,奇計,#ERROR!
#ERROR!,機器,kiki
Kojiki and Nihon Shoki,記紀,#ERROR!
gold,黄金,#ERROR!
Return to school,帰校,#ERROR!
your school,貴校,#ERROR!
#ERROR!,起居,#ERROR!
#ERROR!,器形,#ERROR!
Returning home,帰國,#ERROR!
Takakuni,貴國,#ERROR!
#ERROR!,起工,kikō
#ERROR!,帰港,kwikō
Atmosphere,気圏,#ERROR!
#ERROR!,帰航,#ERROR!
#ERROR!,機根,#ERROR!
Aerial roots,気根,kikon
#ERROR!,気骨,#ERROR!
#ERROR!,機構,#ERROR!
vaporization,気化,kikwa
#ERROR!,奇花,#ERROR!
#ERROR!,奇貨,#ERROR!
institution,機関,#ERROR!
#ERROR!,規管,kwikan
#ERROR!,奇觀,#ERROR!
#ERROR!,機関車,#ERROR!
#ERROR!,気味,#ERROR!
airtight,気密,#ERROR!
Qi pulse,気脈,#ERROR!
Here life,帰命,#ERROR!
#ERROR!,規模,#ERROR!
#ERROR!,起毛,#ERROR!
#ERROR!,禁圧,#ERROR!
inside the container,器内,#ERROR!
induction,帰納,#ERROR!
#ERROR!,金馬,#ERROR!
Duty,勤番,#ERROR!
#ERROR!,近代,#ERROR!
#ERROR!,金殿,kinden
#ERROR!,筋電,kindyen
#ERROR!,近在,kinzai
Gold letters,金字,#ERROR!
Prohibited,禁中,#ERROR!
gold seal,金封,#ERROR!
gold powder,金粉,#ERROR!
#ERROR!,近眼,kingan
#ERROR!,勤行,#ERROR!
Golden words,金言,kinnyon
#ERROR!,金額,#ERROR!
#ERROR!,金杯,#ERROR!
gold seal,金印,#ERROR!
#ERROR!,帰任,#ERROR!
#ERROR!,記念,#ERROR!
#ERROR!,紀年,#ERROR!
yellow fever,黄熱,#ERROR!
yellow fever,黄熱病,#ERROR!
#ERROR!,金曜,#ERROR!
urgent,緊要,#ERROR!
Friday,金曜日,#ERROR!
#ERROR!,禁輸,#ERROR!
fill in,記入,#ERROR!
Kinshina,金科,#ERROR!
#ERROR!,金戒,#ERROR!
#ERROR!,禁戒,#ERROR!
#ERROR!,金閣,#ERROR!
Forthcoming,近刊,#ERROR!
#ERROR!,近景,#ERROR!
neighboring prefectures,近県,#ERROR!
Short of money,金欠,#ERROR!
#ERROR!,禁教,kinkyau
#ERROR!,緊急,#ERROR!
safe,金庫,#ERROR!
imprisonment,禁固,#ERROR!
recent times,近古,#ERROR!
metalwork,金工,#ERROR!
#ERROR!,金婚,kinhon
#ERROR!,金権,#ERROR!
Golden wedding anniversary,金婚式,#ERROR!
Forbidden area,禁区,#ERROR!
#ERROR!,禁句,#ERROR!
Near country,近國,#ERROR!
gold coins,金貨,#ERROR!
#ERROR!,金冠,#ERROR!
#ERROR!,金管,#ERROR!
#ERROR!,金環,#ERROR!
Konko,金光,#ERROR!
#ERROR!,金券,#ERROR!
#ERROR!,近来,#ERROR!
#ERROR!,金力,#ERROR!
#ERROR!,金輪際,#ERROR!
ban,禁令,#ERROR!
#ERROR!,近縁,#ERROR!
#ERROR!,金脈,#ERROR!
#ERROR!,勤務,#ERROR!
#ERROR!,金文,#ERROR!
Kinmen,金門,#ERROR!
Forbidden Gate,禁門,#ERROR!
intramuscular,筋内,kinnae
#ERROR!,金納,#ERROR!
#ERROR!,近日,#ERROR!
recent years,近年,kinnyen
#ERROR!,筋肉,#ERROR!
#ERROR!,帰農,#ERROR!
#ERROR!,機能,#ERROR!
gold sand,金砂,#ERROR!
Recent works,近作,kintsaku
Kinjo,金城,#ERROR!
#ERROR!,金青,kinchei
#ERROR!,金石,#ERROR!
#ERROR!,金銭,#ERROR!
#ERROR!,禁足,#ERROR!
#ERROR!,近村,#ERROR!
#ERROR!,金賞,#ERROR!
#ERROR!,金子,kintsi
#ERROR!,金枝,kinshi
#ERROR!,金神,#ERROR!
neighborhood,近所,#ERROR!
#ERROR!,禁書,#ERROR!
#ERROR!,筋症,#ERROR!
money lord,金主,#ERROR!
denomination,金種,#ERROR!
Fundraising,金策,kintseku
Prohibited,禁止,#ERROR!
gold base,金地,#ERROR!
#ERROR!,近体,#ERROR!
Made of gold,金製,#ERROR!
Groin,金的,#ERROR!
Financial luck,金運,#ERROR!
#ERROR!,金員,kinnwin
#ERROR!,金属,#ERROR!
#ERROR!,金泥,kinnei
#ERROR!,近時,#ERROR!
#ERROR!,近臣,#ERROR!
#ERROR!,近い,#ERROR!
#ERROR!,近侍,#ERROR!
#ERROR!,勤倹,#ERROR!
#ERROR!,近傍,#ERROR!
#ERROR!,金塊,#ERROR!
gold shard,金帛,#ERROR!
#ERROR!,勤怠,#ERROR!
#ERROR!,金斗,#ERROR!
kumquat,金柑,#ERROR!
Fishing ban,禁漁,#ERROR!
Myositis,筋炎,#ERROR!
#ERROR!,金牌,#ERROR!
Kinro,金狼,kin
#ERROR!,禁猟,kinlyos
Gold and grain,金穀,#ERROR!
Golden Dragon,金竜,#ERROR!
#ERROR!,金糸,#ERROR!
bondage,緊縛,#ERROR!
austerity,緊縮,#ERROR!
#ERROR!,金肥,#ERROR!
fibroids,筋腫,#ERROR!
#ERROR!,近著,#ERROR!
#ERROR!,金蓮,#ERROR!
finance,金融,#ERROR!
Forbidden guard,禁衛,#ERROR!
#ERROR!,近衛,#ERROR!
#ERROR!,禁裏,#ERROR!
#ERROR!,金襴,#ERROR!
#ERROR!,近郷,kinkyōn
#ERROR!,金鈴,#ERROR!
#ERROR!,金鉱,#ERROR!
#ERROR!,金銅,#ERROR!
Golden goose,金鵄,#ERROR!
topaz,黄玉,hōnkyoku
On,気on,#ERROR!
substrate,基板,#ERROR!
#ERROR!,基盤,#ERROR!
#ERROR!,帰藩,#ERROR!
#ERROR!,基発,#ERROR!
#ERROR!,既発,#ERROR!
Arrival and Departure,着発,chakupas
#ERROR!,起筆,#ERROR!
#ERROR!,黄白,#ERROR!
#ERROR!,既報,#ERROR!
#ERROR!,基本,#ERROR!
feeling,気分,#ERROR!
#ERROR!,機雷,#ERROR!
#ERROR!,器楽,#ERROR!
#ERROR!,奇麗、綺麗,#ERROR!
#ERROR!,着陸,#ERROR!
#ERROR!,"規律,紀律",#ERROR!
strategy,機略,#ERROR!
record,記録,#ERROR!
#ERROR!,機縁,#ERROR!
#ERROR!,奇縁,#ERROR!
#ERROR!,気流,#ERROR!
#ERROR!,黄砂,#ERROR!
fantasy,奇想,#ERROR!
#ERROR!,奇才,#ERROR!
A bizarre festival,奇祭,#ERROR!
#ERROR!,帰参,#ERROR!
Return to the mountain,帰山,#ERROR!
#ERROR!,起算,#ERROR!
#ERROR!,規制,#ERROR!
Development,期成,#ERROR!
#ERROR!,機制,#ERROR!
#ERROR!,帰城,#ERROR!
Epiphyte,着生,chakusei
#ERROR!,黄精,#ERROR!
vow,起請,#ERROR!
#ERROR!,黄色,#ERROR!
#ERROR!,気色,#ERROR!
#ERROR!,貴石,#ERROR!
#ERROR!,機先,#ERROR!
Emission lines,輝線,#ERROR!
#ERROR!,既設,#ERROR!
#ERROR!,基礎,kiso
Wearing,着装,#ERROR!
#ERROR!,帰村,#ERROR!
Season,気節,#ERROR!
radix,基数,#ERROR!
Number of aircraft,機数,kisū
numeration,記数,#ERROR!
odd number,奇数,#ERROR!
#ERROR!,既習,#ERROR!
#ERROR!,基層,kisūn
Water landing,着水,#ERROR!
rules,規則,kwisoku
breath,気息,#ERROR!
#ERROR!,帰順,kwijun
#ERROR!,記者,#ERROR!
#ERROR!,帰社,#ERROR!
#ERROR!,貴社,#ERROR!
article,記事,#ERROR!
#ERROR!,既視,#ERROR!
#ERROR!,起死,#ERROR!
miracle,奇事,#ERROR!
#ERROR!,帰心,#ERROR!
temperament,気質,#ERROR!
#ERROR!,器質,#ERROR!
#ERROR!,基質,#ERROR!
#ERROR!,期初,#ERROR!
strange book,奇書,#ERROR!
#ERROR!,規正,#ERROR!
#ERROR!,期首,#ERROR!
#ERROR!,機首,#ERROR!
#ERROR!,記主,#ERROR!
#ERROR!,貴種,#ERROR!
#ERROR!,季春,#ERROR!
Already posted,既出,#ERROR!
#ERROR!,帰隊,#ERROR!
#ERROR!,期待,#ERROR!
#ERROR!,奇態,#ERROR!
#ERROR!,期待する,kitai
#ERROR!,帰宅,#ERROR!
Opportunity,機宜,#ERROR!
base point,基点,#ERROR!
Returning to the island,帰島,#ERROR!
#ERROR!,黄土,#ERROR!
description,記載,#ERROR!
#ERROR!,奇策,kitseku
Spirit,気勢,#ERROR!
#ERROR!,基地,#ERROR!
#ERROR!,奇勝,#ERROR!
#ERROR!,機長,kichān
gas,気体,#ERROR!
#ERROR!,基体,#ERROR!
corpus luteum,黄体,hōntai
#ERROR!,帰責,#ERROR!
#ERROR!,既知,#ERROR!
#ERROR!,機知,kichi
Returning to base,帰陣,#ERROR!
#ERROR!,基調,#ERROR!
#ERROR!,帰投,#ERROR!
#ERROR!,奇特,#ERROR!
Spirit,気宇,kiu
origin,起源,#ERROR!
#ERROR!,起義,#ERROR!
#ERROR!,機業,kiwya
Mid-period,期央,kiwon
equipment,器材,#ERROR!
nobility,貴族,#ERROR!
strange person,奇人,#ERROR!
hoisting,起重,#ERROR!
Nobles,貴衆,#ERROR!
#ERROR!,奇術,#ERROR!
get up,起きる,#ERROR!
#ERROR!,起こす,#ERROR!
#ERROR!,起こる,ki
spirit,気っ風,kipūn
#ERROR!,基づく,#ERROR!
Go home,帰る,#ERROR!
#ERROR!,起債,kizai
Bayonet,着剣,#ERROR!
#ERROR!,黄塵,#ERROR!
base,基壇,#ERROR!
#ERROR!,奇妙な,#ERROR!
#ERROR!,機嫌,#ERROR!
Stomata,気孔,#ERROR!
#ERROR!,帰寮,#ERROR!
#ERROR!,帰巣,#ERROR!
#ERROR!,黄巾,#ERROR!
#ERROR!,既往,#ERROR!
#ERROR!,記憶,#ERROR!
#ERROR!,黄櫨,#ERROR!
#ERROR!,気泡,kipō
#ERROR!,帰洛,#ERROR!
#ERROR!,気炎,#ERROR!
#ERROR!,機甲,#ERROR!
jaundice,黄疸,#ERROR!
#ERROR!,規矩,#ERROR!
#ERROR!,奇矯,#ERROR!
#ERROR!,黄禍,#ERROR!
#ERROR!,奇禍,#ERROR!
#ERROR!,起稿,#ERROR!
#ERROR!,黄竜,#ERROR!
#ERROR!,記章,kitsūn
#ERROR!,気筒,#ERROR!
#ERROR!,貴紳,#ERROR!
your letter,貴翰,#ERROR!
#ERROR!,気胸,#ERROR!
#ERROR!,気腫,#ERROR!
#ERROR!,起臥,#ERROR!
#ERROR!,貴賎,#ERROR!
distinguished guest,貴賓,kifin
Outcome,帰趨,kwi
Core,機軸,#ERROR!
#ERROR!,既遂,#ERROR!
#ERROR!,奇遇,kigōn
machine gun,機銃,#ERROR!
#ERROR!,黄銅,#ERROR!
Inscription,記銘,#ERROR!
#ERROR!,気鋭,kiei
#ERROR!,帰阪,#ERROR!
Nobleman,貴顕,kikīn
yellow crane,黄鶴,hōnkaku
#ERROR!,脚部,#ERROR!
rhyme,脚韻,kyakuwin
#ERROR!,脚下,#ERROR!
beriberi,脚気,#ERROR!
#ERROR!,逆,#ERROR!
Reverse direction,逆向,#ERROR!
#ERROR!,逆用,gyokuyō
#ERROR!,逆境,#ERROR!
#ERROR!,逆光,#ERROR!
#ERROR!,逆風,#ERROR!
paradox,逆理,#ERROR!
#ERROR!,逆算,#ERROR!
Paradox,逆説,#ERROR!
Reverse driving,逆走,#ERROR!
#ERROR!,逆送,gyokusō
#ERROR!,逆数,#ERROR!
#ERROR!,逆子,#ERROR!
Reverse tangent,逆接,#ERROR!
rebel,逆徒,#ERROR!
inversion,逆位,gyokuwi
#ERROR!,逆賊,gyokuzoku
#ERROR!,逆臣,#ERROR!
spotlight,脚光,#ERROR!
Screenplay,脚本,#ERROR!
Leg strength,脚力,#ERROR!
#ERROR!,脚立,#ERROR!
#ERROR!,脚色,kyakuseku
leg line,脚線,kyakusen
#ERROR!,況,#ERROR!
footnote,脚注,#ERROR!
#ERROR!,脚絆,#ERROR!
Customer,客,kyeku
#ERROR!,客殿,#ERROR!
#ERROR!,客気,#ERROR!
#ERROR!,客貨,#ERROR!
Guest viewing,客觀,kyekkkan
guest portion,客分,#ERROR!
Customer,客先,kyekusen
Customer base,客層,#ERROR!
#ERROR!,客車,#ERROR!
guest soil,客土,#ERROR!
#ERROR!,客体,kyekutai
Visiting,客員,#ERROR!
Guest commander,客将,kyekushō
#ERROR!,建言,#ERROR!
#ERROR!,建軍,#ERROR!
#ERROR!,建學,#ERROR!
#ERROR!,建艦,#ERROR!
Kenrei,建礼,#ERROR!
#ERROR!,建白,#ERROR!
construction,建設,kenses
architecture,建築,#ERROR!
#ERROR!,建築學,kenchukkkaku
#ERROR!,建議,kennwi
#ERROR!,建碑,kempi
construction,建蔽,#ERROR!
#ERROR!,欠格,#ERROR!
#ERROR!,欠航,#ERROR!
failure to pay compliments,欠礼,keslei
Delivery cancelled,欠配,#ERROR!
Missing number,欠番,#ERROR!
#ERROR!,欠品,#ERROR!
skipping meals,欠食,#ERROR!
#ERROR!,欠点,#ERROR!
#ERROR!,欠場,#ERROR!
#ERROR!,欠字,#ERROR!
vacancy,欠員,#ERROR!
Missing,欠缺,#ERROR!
#ERROR!,型,#ERROR!
horse racing,競馬,#ERROR!
Faculty,教部,#ERROR!
#ERROR!,橋台,#ERROR!
teaching,教導,#ERROR!
Bridge,橋上,#ERROR!
classroom,教場,#ERROR!
dogma,教条,#ERROR!
#ERROR!,競演,kyōein
#ERROR!,競技,#ERROR!
#ERROR!,教行,#ERROR!
#ERROR!,教護,kyauho
#ERROR!,教具,#ERROR!
Hashikita,橋北,#ERROR!
#ERROR!,教育,#ERROR!
pedagogy,教育學,#ERROR!
education,教養,#ERROR!
Subject,教科,#ERROR!
#ERROR!,橋下,#ERROR!
#ERROR!,教戒,#ERROR!
#ERROR!,教科書,#ERROR!
Kyoken,教研,#ERROR!
#ERROR!,橋脚,#ERROR!
#ERROR!,教区,#ERROR!
#ERROR!,教会,#ERROR!
Academic affairs,教務,#ERROR!
teaching gate,教門,kyaumun
#ERROR!,形状,#ERROR!
shape,形影,#ERROR!
#ERROR!,形容詞,#ERROR!
boundary,境界,#ERROR!
#ERROR!,形成,#ERROR!
#ERROR!,形像,#ERROR!
#ERROR!,形式,#ERROR!
form,形態,#ERROR!
#ERROR!,境域,#ERROR!
#ERROR!,形姿,#ERROR!
#ERROR!,境涯,#ERROR!
#ERROR!,形而上,keiðiði
physical world,形而下,keiðika
#ERROR!,教派,#ERROR!
#ERROR!,教法,kyauhō
#ERROR!,教本,#ERROR!
church father,教父,#ERROR!
#ERROR!,競落,#ERROR!
#ERROR!,教理,#ERROR!
#ERROR!,教練,#ERROR!
Teacher,教論,kyauron
Competitive work,競作,#ERROR!
#ERROR!,教線,#ERROR!
#ERROR!,教説,#ERROR!
#ERROR!,競走,#ERROR!
competition,競争,#ERROR!
Instructional Guide,教則,#ERROR!
#ERROR!,教師,#ERROR!
classroom,教室,#ERROR!
#ERROR!,教書,#ERROR!
#ERROR!,教主,#ERROR!
#ERROR!,教典,kyautyun
#ERROR!,教勢,#ERROR!
curriculum,教程,#ERROR!
#ERROR!,型体,hyōtai
#ERROR!,橋頭,#ERROR!
#ERROR!,教王,#ERROR!
#ERROR!,教員,#ERROR!
#ERROR!,教院,#ERROR!
competition,競業,#ERROR!
lectern,教卓,#ERROR!
abetment,教唆,#ERROR!
#ERROR!,教委,#ERROR!
#ERROR!,教授,#ERROR!
doctrine,教旨,#ERROR!
Bridges,橋梁,#ERROR!
competitive swimming,競泳,#ERROR!
#ERROR!,橋畔,#ERROR!
teaching group,教組,#ERROR!
#ERROR!,競艇,#ERROR!
teachings,教誨,kyau
Great evil,巨悪,koaku
#ERROR!,挙党,#ERROR!
Fishway,魚道,#ERROR!
Elevate,挙上,#ERROR!
letter of permission,許状,#ERROR!
#ERROR!,居住,#ERROR!
#ERROR!,巨樹,#ERROR!
Fish shadow,魚影,#ERROR!
huge rock,巨岩,#ERROR!
fish eye,魚眼,#ERROR!
#ERROR!,挙行,#ERROR!
school of fish,魚群,#ERROR!
#ERROR!,去夏,#ERROR!
Raising an army,挙兵,#ERROR!
enormous amount,巨費,#ERROR!
permission,許与,#ERROR!
#ERROR!,魚油,#ERROR!
#ERROR!,校友,#ERROR!
residence,居家,#ERROR!
school song,校歌,#ERROR!
#ERROR!,許可,#ERROR!
#ERROR!,校合,#ERROR!
#ERROR!,居間,#ERROR!
#ERROR!,巨艦,#ERROR!
#ERROR!,校旗,#ERROR!
Huge penis,巨根,#ERROR!
#ERROR!,許婚,hyohon
#ERROR!,校区,#ERROR!
#ERROR!,挙國,#ERROR!
school motto,校訓,#ERROR!
#ERROR!,居館,#ERROR!
huge amount,巨万,#ERROR!
#ERROR!,校名,kyomei
#ERROR!,校務,#ERROR!
fish meat,魚肉,#ERROR!
rejection,拒否,#ERROR!
big gun,巨砲,#ERROR!
#ERROR!,巨富,#ERROR!
school spirit,校風,#ERROR!
#ERROR!,去来,#ERROR!
fish roe,魚卵,#ERROR!
#ERROR!,巨利,#ERROR!
#ERROR!,校了,#ERROR!
giant star,巨星,#ERROR!
school student,校生,#ERROR!
#ERROR!,巨石,#ERROR!
#ERROR!,巨船,#ERROR!
Colossus,巨像,#ERROR!
Macrosight,巨視,#ERROR!
wedding ceremony,挙式,#ERROR!
fish trust,魚信,#ERROR!
#ERROR!,巨視的,#ERROR!
#ERROR!,挙証,#ERROR!
#ERROR!,巨塔,#ERROR!
Fish print,魚拓,#ERROR!
Fish finder,魚探,#ERROR!
#ERROR!,校訂,kyotīn
#ERROR!,校地,#ERROR!
stop raising,挙止,#ERROR!
#ERROR!,校定,#ERROR!
departure,去就,#ERROR!
#ERROR!,校長,#ERROR!
Fish body,魚体,#ERROR!
giant head,巨頭,#ERROR!
suburbs,郊外,kouwai
#ERROR!,校外,#ERROR!
#ERROR!,校異,kyoī
#ERROR!,校医,#ERROR!
fish family,魚族,yozuku
#ERROR!,巨人,#ERROR!
#ERROR!,挙人,#ERROR!
#ERROR!,校勘,kyokan
#ERROR!,巨匠,#ERROR!
#ERROR!,巨峰,kopōn
#ERROR!,挙措,#ERROR!
giant,巨漢,#ERROR!
#ERROR!,巨獣,#ERROR!
Expectorant,去痰,kyo
#ERROR!,校章,#ERROR!
fishing net,魚網,#ERROR!
#ERROR!,校註,#ERROR!
#ERROR!,許諾,#ERROR!
#ERROR!,魚醤,#ERROR!
#ERROR!,校閲,kyoyes
#ERROR!,巨魁,ko
fish scales,魚鱗,#ERROR!
Old,旧,#ERROR!
salvation,救亡,kumān
#ERROR!,給弾,#ERROR!
Relief,救済,#ERROR!
Grant,給費,#ERROR!
poverty relief,救貧,#ERROR!
Salary,給与,#ERROR!
#ERROR!,給金,#ERROR!
#ERROR!,救國,kukuku
rescue,救難,kunan
#ERROR!,弓馬,kūnma
#ERROR!,弓道,#ERROR!
#ERROR!,弓状,#ERROR!
Farm relief,救農,#ERROR!
Archery,弓射,kūnsha
Archery,弓術,kūnchus
Bow,弓箭,#ERROR!
#ERROR!,給付,#ERROR!
Spirit relief,救霊,#ERROR!
salary,給料,#ERROR!
Power source,給源,kesswen
#ERROR!,救恤,ku
#ERROR!,給排水,#ERROR!
Hot water supply,給湯,#ERROR!
relief,救荒,#ERROR!
Feeding,給餌,#ERROR!
#ERROR!,旧悪,#ERROR!
#ERROR!,牛馬,#ERROR!
#ERROR!,旧聞,#ERROR!
#ERROR!,牛刀,#ERROR!
Old road,旧道,#ERROR!
#ERROR!,旧字,#ERROR!
#ERROR!,旧辞,#ERROR!
old translation,旧訳,#ERROR!
#ERROR!,旧友,#ERROR!
old record,旧記,#ERROR!
