"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"signal gun","??","?","?","","","","ho","h?","","","","hoh?","hoh?","hopo?"
"compensation","??","?","?","","","","po","sh?n","","","","posh?n","posh?n","hosa?n"
"complementary colors","??","?","?","","","","po","seku","","","","poseku","poseku","hoseku"
"By-election","??","?","?","","","","po","sen","","","","posen","posen","hosen"
"Issue number","??","?","?","","","","ho","s?","","","","hos?","hos?","hosu"
"supplementary lessons","??","?","?","","","","po","s?i","","","","pos?i","pos?i","hosu?"
"Call","??","?","?","","","","ho","s?s","","","","hos?s","hos?s","hosu?"
"Supplementary Provisions","??","?","?","","","","po","soku","","","","posoku","posoku","hosuku"
"Correction","??","?","?","","","","po","t?n","","","","pot?n","pot?n","hotei"
"hearing aids","??","?","?","","","","po","ty?","","","","poty?","poty?","ho?o?"
"Extra edition","??","?","?","","","","ho","wai","","","","howai","howai","howai"
"Addendum","??","?","?","","","","po","wi","","","","powi","powi","howi"
"Additional notes","??","?","?","","","","po","chu","","","","pochu","pochu","ho?u"
"Crying","??","?","?","","","","ho","kyus","","","","hokyus","hokyus","ho?"
"Koa","??","?","?","","","","h?n","a","","","","h?na","h?nna","hu?na"
"rise and fall","??","?","?","","","","h?n","m?n","","","","h?nm?n","h?nm?n","hu?nba?n"
"rise and fall","??","?","?","","","","h?n","pai","","","","h?npai","h?mpai","hu?nhe"
"rise","??","?","?","","","","h?n","ki","","","","h?nki","h?nki","hu?nki"
"lazy","??","?","?","","","","h?n","chaku","","","","h?nchaku","h?nchaku","hu?nki"
"Kokoku","??","?","?","","","","h?n","kuku","","","","h?nkuku","h?nkuku","hu?nkuku"
"interest","??","?","?","","","","h?n","mi","","","","h?nmi","h?nmi","hu?nmi"
"excitement","??","?","?","","","","h?n","fin","","","","h?nfin","h?nfin","hu?npun"
"Development","??","?","?","","","","h?n","san","","","","h?nsan","h?nsan","hu?nsan"
"horizontal line","??","?","?","","","","h?n","sen","","","","h?nsen","h?nsen","hu?nsen"
"sideways death","??","?","?","","","","h?n","shi","","","","h?nshi","h?nshi","hu?n?i"
"line","??","?","?","","","","h?n","tai","","","","h?ntai","h?ntai","hu?ntai"
"rollover","??","?","?","","","","h?n","ten","","","","h?nten","h?nten","hu?n?en"
"Kozen","??","?","?","","","","h?n","zen","","","","h?nzen","h?nzen","hu?nzen"
"square sails","??","?","?","","","","h?n","han","","","","h?nhan","h?nhan","hu?n?"
"Overflowing","??","?","?","","","","h?n","is","","","","h?nis","h?nnis","hu?n?"
"Xinghan","??","?","?","","","","h?n","kan","","","","h?nkan","h?nkan","hu?nhan"
"Lying down","??","?","?","","","","h?n","","","","","h?n","h?n","hu?n?"
"Interest","??","?","?","","","","h?n","swi","","","","h?nswi","h?nswi","hu?n?"
"northern","??","?","?","","","","huku","bu","","","","hukubu","hukubu","hukubu"
"north shore","??","?","?","","","","huku","yan","","","","hukuyan","hukuyan","hukugan"
"Northbound","??","?","?","","","","huku","k?/gy?n/sh?n","","","","hukuk?/gy?n/sh?n","hukuk?/gy?n/sh?n","hukugjo?"
"northern limit","??","?","?","","","","huku","kan","","","","hukukan","hukkkan","hukuhen"
"Serving in prison","??","?","?","","","","fuku","yoki","","","","fukuyoki","fukuyoki","hukujaku"
"Medication","??","?","?","","","","fuku","yaku","","","","fukuyaku","fukuyaku","hukujaku"
"taking","??","?","?","","","","fuku","y?","","","","fukuy?","fukuy?","hukujo?"
"northern ocean","??","?","?","","","","huku","y?n","","","","hukuy?n","hukuy?n","hukujo?n"
"northern suburbs","??","?","?","","","","huku","kou","","","","hukukou","hukkkou","hukukjo"
"arctic","??","?","?","","","","huku","kyuku","","","","hukukyuku","hukkkyuku","hukukjuku"
"north face","??","?","?","","","","huku","myen","","","","hukumyen","hukumyen","hukumjen"
"service","??","?","?","","","","fuku","mu","","","","fukumu","fukumu","hukumu"
"north side","??","?","?","","","","huku","ben","","","","hukuben","hukuben","hukupen"
"North Wall","??","?","?","","","","huku","peku","","","","hukupeku","hukupeku","hukupjeku"
"north flow","??","?","?","","","","huku","ry?n","","","","hukury?n","hukury?n","hukurjun"
"uniform","??","?","?","","","","fuku","sei","","","","fukusei","fukusei","hukusei"
"Clothes color","??","?","?","","","","fuku","seku","","","","fukuseku","fukuseku","hukuseku"
"North run","??","?","?","","","","huku","sau","","","","hukusau","hukusau","hukuso"
"clothing","??","?","?","","","","fuku","s?","","","","fukus?","fukus?","hukuso?"
"northern sky","??","?","?","","","","huku","tyen","","","","hukutyen","hukutyen","hukutjen"
"poisoning","??","?","?","","","","fuku","toku","","","","fukutoku","fukutoku","hukutoku"
"Clothes","??","?","?","","","","fuku","tsi","","","","fukutsi","fukutsi","huku?i"
"northward","??","?","?","","","","huku","shin","","","","hukushin","hukushin","huku?in"
"Northern Dynasty","??","?","?","","","","huku","ch?","","","","hukuch?","hukuch?","huku?o"
"Subordination","??","?","?","","","","fuku","suku","","","","fukusuku","fukusuku","hukuzuku"
"northern expedition","??","?","?","","","","huku","bos","","","","hukubos","hukubos","huku?"
"Bombing of the North","??","?","?","","","","huku","paku","","","","hukupaku","hukupaku","hukupaku"
"Hokugo","??","?","?","","","","huku","","","","","huku","huku","huku?"
"punishment","??","?","?","","","","fuku","zoi","","","","fukuzoi","fukuzoi","huku?oi"
"Clothes preparation","??","?","?","","","","fuku","","","","","fuku","fuku","huku?"
"Hokushin","??","?","?","","","","huku","","","","","huku","huku","huku?"
"clothing","??","?","?","","","","fuku","shiku","","","","fukushiku","fukushiku","huku?oku"
"Japanese-Buddhist","??","?","?","","","","hwa","pus","","","","hwapus","hwapus","hwabus"
"flower arrangement","??","?","?","","","","hwa","d?","","","","hwad?","hwad?","hwado?"
"Japanese characters","??","?","?","","","","hwa","zhi","","","","hwazhi","hwazhi","hwa?i"
"Japanese","??","?","?","","","","hwa","go","","","","hwago","hwago","hwago"
"Kegon","??","?","?","","","","hwa","kon","","","","hwakon","hwakon","hwagon"
"Japanese studies","??","?","?","","","","hwa","","","","","hwa","hwa","hwahaku"
"Japanese clothes","??","?","?","","","","hwa","fuku","","","","hwafuku","hwafuku","hwahuku"
"harm","??","?","?","","","","koi","aku","","","","koiaku","koiaku","hwaiaku"
"repentance","??","?","?","","","","koi","yo","","","","koiyo","koiyo","hwaigo"
"scurvy","??","?","?","","","","hwai","kyes","","","","hwaikyes","hwaikyes","hwaikes"
"regret","??","?","?","","","","koi","ka","","","","koika","koika","hwaikwa"
"necrosis","??","?","?","","","","hwai","shi","","","","hwaishi","hwaishi","hwai?i"
"Harmful feelings","??","?","?","","","","koi","shin","","","","koishin","koishin","hwai?in"
"Harmful poison","??","?","?","","","","koi","toku","","","","koitoku","koitoku","hwaitoku"
"harmful bird","??","?","?","","","","koi","ch?","","","","koich?","koich?","hwai?o"
"Harmful intention","??","?","?","","","","koi","wi","","","","koiwi","koiwi","hwaiwi"
"break","??","?","?","","","","hwai","","","","","hwai","hwai","hwai?"
"regret","??","?","?","","","","koi","kon","","","","koikon","koikon","hwai?"
"pests","??","?","?","","","","koi","shau","","","","koishau","koishau","hwai?u?"
"Japanese translation","??","?","?","","","","hwa","yoki","","","","hwayoki","hwayoki","hwajaki"
"peace treaty","??","?","?","","","","hwa","yaku","","","","hwayaku","hwayaku","hwajaku"
"Japanese style","??","?","?","","","","hwa","y?/y?n","","","","hway?/y?n","hway?/y?n","hwajo?n"
"Wakin","??","?","?","","","","hwa","kin","","","","hwakin","hwakin","hwakin"
"Wagyu beef","??","?","?","","","","hwa","gu","","","","hwagu","hwagu","hwakju"
"Wako","??","?","?","","","","hwa","kw?","","","","hwakw?","hwakw?","hwakwo?"
"Japanese sentence","??","?","?","","","","hwa","mun","","","","hwamun","hwamun","hwamun"
"Chord","??","?","?","","","","hwa","on","","","","hwaon","hwaon","hwaon"
"Waraku","??","?","?","","","","hwa","raku","","","","hwaraku","hwaraku","hwaraku"
"Japanese sewing","??","?","?","","","","hwa","chai","","","","hwachai","hwachai","hwasai"
"Japanese","??","?","?","","","","hwa","san","","","","hwasan","hwasan","hwasan"
"harmony","??","?","?","","","","hwa","shei","","","","hwashei","hwashei","hwasei"
"Japanese boat","??","?","?","","","","hwa","sen","","","","hwasen","hwasen","hwasen"
"Japanese clothing","??","?","?","","","","hwa","s?","","","","hwas?","hwas?","hwaso?"
"Peace and friendship","??","?","?","","","","hwa","shin","","","","hwashin","hwashin","hwa?in"
"Japanese books","??","?","?","","","","hwa","sho","","","","hwasho","hwasho","hwa?o"
"Kashu","??","?","?","","","","hwa","shu","","","","hwashu","hwashu","hwa?u"
"Japanese breed","??","?","?","","","","hwa","tsu","","","","hwatsu","hwatsu","hwa?u"
"Japanese and German","??","?","?","","","","hwa","toku","","","","hwatoku","hwatoku","hwatoku"
"Japanese","??","?","?","","","","hwa","tsei","","","","hwatsei","hwatsei","hwa?ei"
"War","??","?","?","","","","hwa","chen","","","","hwachen","hwachen","hwa?en"
"Huayi","??","?","?","","","","hwa","","","","","hwa","hwa","hwa?"
"Japanese calendar","??","?","?","","","","hwa","reki","","","","hwareki","hwareki","hwa?"
"peace","??","?","?","","","","hwa","muku","","","","hwamuku","hwamuku","hwa?"
"Japanese-English","??","?","?","","","","hwa","ei","","","","hwaei","hwaei","hwaei"
"Wasan","??","?","?","","","","hwa","tsan","","","","hwatsan","hwatsan","hwasan"
"Hana wig","??","?","?","","","","hwa","","","","","hwa","hwa","hwa?"
"circular","??","?","?","","","","hwi","zh?n","","","","hwizh?n","hwizh?n","hwi?a?n"
"recovery","??","?","?","","","","hwi","fuku","","","","hwifuku","hwifuku","hwifuku"
"Eko","??","?","?","","","","hwi","hy?n","","","","hwihy?n","hwihy?n","hwihja?n"
"repatriation","??","?","?","","","","hwi","kuku","","","","hwikuku","hwikuku","hwikku"
"sailing","??","?","?","","","","hwi","h?n","","","","hwih?n","hwih?n","hwiko?n"
"palindrome","??","?","?","","","","hwi","mun","","","","hwimun","hwimun","hwimun"
"Avoid","??","?","?","","","","hwi","hi","","","","hwihi","hwihi","hwipi"
"circular","??","?","?","","","","hwi","hou","","","","hwihou","hwihou","hwipo?"
"Circulation","??","?","?","","","","hwi","fu","","","","hwifu","hwifu","hwipu"
"circuit","??","?","?","","","","hwi","ro","","","","hwiro","hwiro","hwiro"
"Regeneration","??","?","?","","","","hwi","sei","","","","hwisei","hwisei","hwisei"
"cargo ship","??","?","?","","","","hwi","sen","","","","hwisen","hwisen","hwisen"
"diffraction","??","?","?","","","","hwi","sos","","","","hwisos","hwisos","hwises"
"Forwarding","??","?","?","","","","hwi","s?","","","","hwis?","hwis?","hwiso?"
"Number of times","??","?","?","","","","hwi","s?","","","","hwis?","hwis?","hwisu"
"rotation","??","?","?","","","","hwi","sen","","","","hwisen","hwisen","hwi?en"
"conversion","??","?","?","","","","hwi","shin","","","","hwishin","hwishin","hwi?in"
"Rounds","??","?","?","","","","hwi","shin","","","","hwishin","hwishin","hwi?in"
"collect","??","?","?","","","","hwi","shou","","","","hwishou","hwishou","hwi?u"
"answer","??","?","?","","","","hwi","tas","","","","hwitas","hwitas","hwita?"
"Kaiten","??","?","?","","","","hwi","tyen","","","","hwityen","hwityen","hwitjen"
"rotate","??","?","?","","","","hwi","ten","","","","hwiten","hwiten","hwi?en"
"turning","??","?","?","","","","hwi","tu","","","","hwitu","hwitu","hwitu"
"Huiho","??","?","?","","","","hwi","p?n","","","","hwip?n","hwip?n","hwi?"
"rowing","??","?","?","","","","hwi","","","","","hwi","hwi","hwi?"
"Roundworms","??","?","?","","","","hwi","ts?n","","","","hwits?n","hwits?n","hwi?u"
"maintain","??","?","?","","","","ye","zhi","","","","yezhi","yezhi","i??i"
"drinking","??","?","?","","","","yen","y?","","","","yeny?","yenny?","i?nnjo?"
"Restoration","??","?","?","","","","ye","shin","","","","yeshin","yeshin","i??in"
"move","??","?","?","","","","i","d?n","","","","id?n","id?n","ido?n"
"East of","??","?","?","","","","i","d?n","","","","id?n","id?n","ido?n"
"End","??","?","?","","","","i","?i","","","","i?i","i?i","i?a?n"
"Previously","??","?","?","","","","i","?en","","","","i?en","i?en","i?en"
"Migration","??","?","?","","","","i","chu","","","","ichu","ichu","i?u"
"Transfer","??","?","?","","","","i","p?n","","","","ip?n","ip?n","ifu?"
"transfer","??","?","?","","","","i","k?/gy?n/sh?n","","","","ik?/gy?n/sh?n","ik?/gy?n/sh?n","igjo?"
"onwards","??","?","?","","","","i","k?","","","","ik?","ik?","ihu?"
"clothing","??","?","?","","","","i","fuku","","","","ifuku","ifuku","ihuku"
"Further","??","?","?","","","","i","wen","","","","iwen","iwen","ijen"
"below","??","?","?","","","","i","ka","","","","ika","ika","ika"
"relocation","??","?","?","","","","i","ken","","","","iken","iken","ikjen"
"Relocation","??","?","?","","","","i","kyo","","","","ikyo","ikyo","ikjo"
"From then on","??","?","?","","","","i","hou","","","","ihou","ihou","iku?"
"parental leave","??","?","?","","","","iku","hyu","","","","ikuhyu","ikuhyu","ikuhju"
"Development","??","?","?","","","","iku","sei","","","","ikusei","ikusei","ikusei"
"breeding","??","?","?","","","","iku","tsu","","","","ikutsu","ikutsu","iku?u"
"childcare","??","?","?","","","","iku","zhi","","","","ikuzhi","ikuzhi","ikuni"
"Raising seedlings","??","?","?","","","","iku","by?","","","","ikuby?","ikuby?","iku?"
"Ikuei","??","?","?","","","","iku","ei","","","","ikuei","ikuei","ikuei"
"crown","??","?","?","","","","i","kwan","","","","ikwan","ikwan","ikwan"
"immigration","??","?","?","","","","i","min","","","","imin","imin","imin"
"Within","??","?","?","","","","i","nae","","","","inae","inae","inae"
"benevolence","??","?","?","","","","zhin","ai","","","","zhinai","zhinnai","inai"
"cremator","??","?","?","","","","on","m?n","","","","onm?n","onm?n","inba?n"
"Hidden","??","?","?","","","","on","mi","","","","onmi","onmi","inbi"
"Guidance","??","?","?","","","","in","d?","","","","ind?","ind?","indo?"
"Printing","??","?","?","","","","in","zhi","","","","inzhi","inzhi","in?i"
"rhyming word","??","?","?","","","","win","zhi","","","","winzhi","winzhi","in?i"
"Impression","??","?","?","","","","in","ei","","","","inei","innei","inei"
"Printing","??","?","?","","","","in","k?/gy?n/sh?n","","","","ink?/gy?n/sh?n","ink?/gy?n/sh?n","ingjo?"
"slang","??","?","?","","","","on","go","","","","ongo","ongo","ingo"
"Ignition","??","?","?","","","","in","hwa","","","","inhwa","inhwa","inha"
"quotation","??","?","?","","","","in","y?","","","","iny?","inny?","injo?"
"application","??","?","?","","","","in","ka","","","","inka","inka","inka"
"print","??","?","?","","","","in","ka","","","","inka","inka","inkaku"
"Inquiry","??","?","?","","","","in","ken","","","","inken","inken","inken"
"Kind Lord","??","?","?","","","","zhin","kun","","","","zhinkun","zhinkun","inkun"
"Hidden Flower","??","?","?","","","","on","hwa","","","","onhwa","onhwa","inkwa"
"prosody","??","?","?","","","","win","ris","","","","winris","winlis","inlis"
"References","??","?","?","","","","in","rei","","","","inrei","inlei","inlje"
"seal face","??","?","?","","","","in","myen","","","","inmyen","inmyen","inmjen"
"seal letter","??","?","?","","","","in","mun","","","","inmun","inmun","inmun"
"verse","??","?","?","","","","win","mun","","","","winmun","winmun","inmun"
"Concealment","??","?","?","","","","on","rin","","","","onrin","onlin","innin"
"stamp","??","?","?","","","","in","ban","","","","inban","imban","inpan"
"hiding","??","?","?","","","","on","hi","","","","onhi","onhi","inpi"
"printing","??","?","?","","","","in","swas","","","","inswas","inswas","insas"
"benevolence","??","?","?","","","","zhin","sei","","","","zhinsei","zhinsei","insei"
"Inso","??","?","?","","","","in","s?n","","","","ins?n","ins?n","inso?"
"factor","??","?","?","","","","in","s?","","","","ins?","ins?","insu"
"custom","??","?","?","","","","in","s?i","","","","ins?i","ins?i","insu?"
"water withdrawal","??","?","?","","","","in","sui","","","","insui","insui","insui"
"benevolent person","??","?","?","","","","zhin","sha","","","","zhinsha","zhinsha","in?a"
"hermit","??","?","?","","","","on","sha","","","","onsha","onsha","in?a"
"factor","??","?","?","","","","in","tsi","","","","intsi","intsi","in?e"
"stamp","??","?","?","","","","in","zhi","","","","inzhi","inzhi","in?i"
"hermit","??","?","?","","","","on","shi","","","","onshi","onshi","in?i"
"stamp","??","?","?","","","","in","sho","","","","insho","insho","in?o"
"Citation","??","?","?","","","","in","sh?","","","","insh?","insh?","in?o?"
"seal tower","??","?","?","","","","in","tais","","","","intais","intais","inta?n"
"Retreat","??","?","?","","","","on","taku","","","","ontaku","ontaku","intaku"
"Delivery","??","?","?","","","","in","to","","","","into","into","into"
"Retirement","??","?","?","","","","on","chai","","","","onchai","","intoi"
"benevolence","??","?","?","","","","zhin","toku","","","","zhintoku","","intoku"
"Responsibility","??","?","?","","","","in","cheke","","","","incheke","","in?eku"
"Seal material","??","?","?","","","","in","zai","","","","inzai","","inzai"
"impression","??","?","?","","","","in","z?n","","","","inz?n","","in?a?n"
"benevolence","??","?","?","","","","zhin","chus","","","","zhinchus","","in?us"
"Pull","??","?","?","","","","in","","","","","in","","in?"
"concealment","??","?","?","","","","on","niki","","","","onniki","","in?"
"metaphor","??","?","?","","","","on","yu","","","","onyu","","in?"
"benevolence","??","?","?","","","","zhin","chi","","","","zhinchi","","in?"
"destruction","??","?","?","","","","on","myes","","","","onmyes","","inmjes"
"seal","??","?","?","","","","in","tsi","","","","intsi","","in?"
"stamp","??","?","?","","","","in","ts?n","","","","ints?n","","incho?n"
"Inro","??","?","?","","","","in","r?n","","","","inr?n","","in?"
"ribbon","??","?","?","","","","in","","","","","in","","in?"
"Attraction","??","?","?","","","","in","chi","","","","inchi","","in?i"
"seclusion","??","?","?","","","","on","","","","","on","","in?"
"Hiding and revealing","??","?","?","","","","on","k?n","","","","onk?n","","in?"
"Since then","??","?","?","","","","i","rai","","","","irai","","irai"
"Advection","??","?","?","","","","i","ry?n","","","","iry?n","","irjun"
"one by one","??","?","?","","","","is","","","","","is","","is?"
"A handful","??","?","?","","","","is","aku","","","","isaku","","isaku"
"An idea","??","?","?","","","","is","an","","","","isan","","isan"
"west","??","?","?","","","","i","sai","","","","isai","","isei"
"Relocation","??","?","?","","","","i","ses","","","","ises","","ises"
"Monogamy","??","?","?","","","","is","fu","","","","isfu","","isfu"
"One envelope","??","?","?","","","","is","p?n","","","","isp?n","","isfu?"
"One spot","??","?","?","","","","is","ban","","","","isban","","i??an"
"fun","??","?","?","","","","is","h?n","","","","ish?n","","i??u?n"
"Ichiwa","??","?","?","","","","is","hwa","","","","ishwa","","i??wa"
"family","??","?","?","","","","is","ka","","","","iska","","iska"
"Ikkushita","??","?","?","","","","is","ka","","","","iska","","iska"
"First section","??","?","?","","","","is","kwaku","","","","iskwaku","","iskaku"
"single lens","??","?","?","","","","is","gan","","","","isgan","","iskan"
"Volume 1","??","?","?","","","","is","kwen","","","","iskwen","","iskan"
"one sum","??","?","?","","","","is","kei","","","","iskei","","iskei"
"One lineage","??","?","?","","","","is","kei","","","","iskei","","iskei"
"All at once","??","?","?","","","","is","ki","","","","iski","","iski"
"One season","??","?","?","","","","is","ki","","","","iski","","iski"
"All at once","??","?","?","","","","is","kyo","","","","iskyo","","iskjo"
"one line","??","?","?","","","","is","k?/gy?n/sh?n","","","","isk?/gy?n/sh?n","","iskjo?"
"unipolar","??","?","?","","","","is","kyuku","","","","iskyuku","","iskjuku"
"A glance","??","?","?","","","","is","ko","","","","isko","","isko"
"A thought","??","?","?","","","","is","k?","","","","isk?","","isko?"
"First army","??","?","?","","","","is","gun","","","","isgun","","iskun"
"One decision","??","?","?","","","","is","kes","","","","iskes","","iskwes"
"One meeting","??","?","?","","","","is","kwi","","","","iskwi","","iskwi"
"Ichiri","??","?","?","","","","is","ri","","","","isri","","isli"
"A series","??","?","?","","","","is","ryen","","","","isryen","","isljen"
"top notch","??","?","?","","","","is","ry?n","","","","isry?n","","isljun"
"Class 1","??","?","?","","","","is","roi","","","","isroi","","islwi"
"special people","??","?","?","","","","?s","min","","","","?smin","","ismin"
"One line","??","?","?","","","","is","myaku","","","","ismyaku","","ismjaku"
"one side","??","?","?","","","","is","myen","","","","ismyen","","ismjen"
"lost writings","??","?","?","","","","?s","mun","","","","?smun","","ismun"
"One difficulty","??","?","?","","","","is","nan","","","","isnan","","isnan"
"Ichino","??","?","?","","","","is","n?n","","","","isn?n","","isno?n"
"Costume","??","?","?","","","","i","s?","","","","is?","","iso?"
"Just in case","??","?","?","","","","is","?n","","","","is?n","","isso?n"
"number one","??","?","?","","","","is","pan","","","","ispan","","ispan"
"half","??","?","?","","","","is","han","","","","ishan","","ispan"
"general","??","?","?","","","","is","pan","","","","ispan","","ispan"
"gem","??","?","?","","","","?s","pin","","","","?spin","","ispin"
"A stroke","??","?","?","","","","is","bis","","","","isbis","","ispis"
"Ippaku","??","?","?","","","","is","paku","","","","ispaku","","ispjaku"
"on the other hand","??","?","?","","","","is","p?n","","","","isp?n","","ispo?"
"One","??","?","?","","","","is","hon/pon","","","","ishon/pon","","ispon"
"part","??","?","?","","","","is","bu","","","","isbu","","ispu"
"A breeze","??","?","?","","","","is","p?n","","","","isp?n","","ispu?n"
"Excellent","??","?","?","","","","?s","mus","","","","?smus","","ispus"
"bond","??","?","?","","","","is","sas","","","","issas","","isre"
"All at once","??","?","?","","","","is","sei","","","","issei","","issai"
"outstanding student","??","?","?","","","","?s","zai","","","","?szai","","issai"
"lifetime","??","?","?","","","","is","sei","","","","issei","","issei"
"one seat","??","?","?","","","","is","seku","","","","isseku","","isseku"
"Nothing","??","?","?","","","","is","sos","","","","issos","","isses"
"fast runner","??","?","?","","","","?s","suku","","","","?ssuku","","issoku"
"at one's discretion","??","?","?","","","","is","tson","","","","istson","","isson"
"At a glance","??","?","?","","","","is","shi","","","","isshi","","is?i"
"Kazue","??","?","?","","","","is","shi","","","","isshi","","is?i"
"anecdote","??","?","?","","","","?s","tsi","","","","?stsi","","is?i"
"One God","??","?","?","","","","is","shin/jin","","","","isshin/jin","","is?in"
"Loss","??","?","?","","","","?s","shis","","","","?sshis","","is?is"
"One place","??","?","?","","","","is","sho","","","","issho","","is?o"
"One touch","??","?","?","","","","is","soku","","","","issoku","","is?oku"
"kind of","??","?","?","","","","is","tsu","","","","istsu","","is?u"
"for a moment","??","?","?","","","","is","shon","","","","isshon","","is?un"
"One generation","??","?","?","","","","is","","","","","is","","istai"
"One stage","??","?","?","","","","is","dan","","","","isdan","","istan"
"Short and short","??","?","?","","","","is","twan","","","","istwan","","istan"
"One heaven","??","?","?","","","","is","tyen","","","","istyen","","istjen"
"one time","??","?","?","","","","is","do","","","","isdo","","isto"
"All together","??","?","?","","","","is","d?","","","","isd?","","isto?"
"One way","??","?","?","","","","is","d?","","","","isd?","","isto?"
"One move","??","?","?","","","","is","d?n","","","","isd?n","","isto?n"
"Retirement","??","?","?","","","","is","chai","","","","ischai","","istoi"
"unified","??","?","?","","","","is","t?","","","","ist?","","i??o?n"
"Ichicho","??","?","?","","","","is","ch?n","","","","isch?n","","i??a?n"
"dissipation","??","?","?","","","","?s","san","","","","?ssan","","i??an"
"Together","??","?","?","","","","is","tai","","","","istai","","i??e"
"Battle","??","?","?","","","","is","chen","","","","ischen","","i??en"
"Single-minded","??","?","?","","","","is","ches","","","","isches","","i??es"
"one finger","??","?","?","","","","is","chi","","","","ischi","","i??i"
"Kazuchi","??","?","?","","","","is","chi","","","","ischi","","i??i"
"One group","??","?","?","","","","is","jin","","","","isjin","","i??in"
"Ichisuke","??","?","?","","","","is","jo","","","","isjo","","i??o"
"Ichijo","??","?","?","","","","is","j?","","","","isj?","","i??o"
"One","??","?","?","","","","is","t?n","","","","ist?n","","i??o?n"
"Ichichu","??","?","?","","","","is","ju","","","","isju","","i??u"
"Kazuki","??","?","?","","","","is","shu","","","","isshu","","i??u"
"Ichiu","??","?","?","","","","is","u","","","","isu","","isu"
"Special talent","??","?","?","","","","is","kyei","","","","iskyei","","iswei"
"unique","??","?","?","","","","is","wi","","","","iswi","","iswi"
"A discussion","??","?","?","","","","is","wi","","","","iswi","","iswi"
"one business","??","?","?","","","","is","wya","","","","iswya","","iswja"
"clan","??","?","?","","","","is","zuku","","","","iszuku","","i??uku"
"temporary","??","?","?","","","","is","zhi","","","","iszhi","","is?i"
"One yen","??","?","?","","","","is","yen","","","","isyen","","is?"
"First base","??","?","?","","","","is","rwi","","","","isrwi","","isrwi"
"a lump","??","?","?","","","","is","kwai","","","","iskwai","","is?"
"Ichinyo","??","?","?","","","","is","ru","","","","isru","","is?"
"One scoop","??","?","?","","","","is","","","","","is","","is?"
"One-hit wonder","??","?","?","","","","is","","","","","is","","is?"
"bit","??","?","?","","","","is","","","","","is","","is?"
"One arrow","??","?","?","","","","is","shi","","","","isshi","","is?"
"Ippeki","??","?","?","","","","is","","","","","is","","is?"
"One thread","??","?","?","","","","is","shi","","","","isshi","","is?i"
"All in one","??","?","?","","","","is","m?n","","","","ism?n","","is?"
"match","??","?","?","","","","is","chi","","","","ischi","","i??i"
"Consistency","??","?","?","","","","is","kwan","","","","iskwan","","is?"
"chance","??","?","?","","","","is","g?n","","","","isg?n","","is?"
"A flash of light","??","?","?","","","","is","shan","","","","isshan","","is?"
"A surprise","??","?","?","","","","is","ky?","","","","isky?","","is?"
"A hair's breadth","??","?","?","","","","is","pas","","","","ispas","","is?"
"My heart","??","?","?","","","","i","shin","","","","ishin","","i?in"
"deeper","??","?","?","","","","i","shin","","","","ishin","","i?in"
"full court dress","??","?","?","","","","i","tai","","","","itai","","itai"
"Transfer","??","?","?","","","","i","s?n","","","","is?n","","i?o?n"
"Once again","??","?","?","","","","is","sai","","","","issai","","i??ai"
"One plan","??","?","?","","","","is","tseku","","","","istseku","","i??aku"
"Isshin","??","?","?","","","","is","shin","","","","isshin","","i??in"
"constant","??","?","?","","","","is","tei/j?n","","","","istei/j?n","","i??o?"
"transfer","??","?","?","","","","i","ten","","","","iten","","i?en"
"Transposition","??","?","?","","","","i","ch?","","","","ich?","","i?o"
"relocation","??","?","?","","","","i","chu","","","","ichu","","i?u"
"Relocation","??","?","?","","","","i","chuku","","","","ichuku","","i?uku"
"other than","??","?","?","","","","i","wai","","","","iwai","","iwai"
"Clothing girder","??","?","?","","","","i","ky?","","","","iky?","","i?"
"Translocation","??","?","?","","","","i","shiku","","","","ishiku","","i?"
"Clothing and hakama","??","?","?","","","","i","","","","","i","","i?"
"transfer","??","?","?","","","","i","ryou","","","","iryou","","i?"
"kimono","??","?","?","","","","i","has","","","","ihas","","i?"
"transfer","??","?","?","","","","i","h?n","","","","ih?n","","i?"
"diversion","??","?","?","","","","y?n","d?n","","","","y?nd?n","","ja?ndo?n"
"nutrient solution","??","?","?","","","","y?n","eki","","","","y?neki","","ja?njeku"
"foster home","??","?","?","","","","y?n","ka","","","","y?nka","","ja?nka"
"positive image","??","?","?","","","","y?n","ka","","","","y?nka","","ja?nkaku"
"poultry farming","??","?","?","","","","y?n","kei","","","","y?nkei","","ja?nkei"
"Fish farming","??","?","?","","","","y?n","yo","","","","y?nyo","","ja?nkjo"
"anode","??","?","?","","","","y?n","kyuku","","","","y?nkyuku","","ja?nkjuku"
"amnion","??","?","?","","","","y?n","maku","","","","y?nmaku","","ja?nmaku"
"Yangming","??","?","?","","","","y?n","mei/my?n","","","","y?nmei/my?n","","ja?nmei"
"hair growth","??","?","?","","","","y?n","m?","","","","y?nm?","","ja?nmo?"
"positive and negative","??","?","?","","","","y?n","win","","","","y?nwin","","ja?no?n"
"sheepskin","??","?","?","","","","y?n","hi","","","","y?nhi","","ja?npi"
"nutrients","??","?","?","","","","y?n","pun","","","","y?npun","","ja?npun"
"amniotic fluid","??","?","?","","","","y?n","sui","","","","y?nsui","","ja?nsui"
