lemma,ipa,POS,english,italian,byakuzhi,askaoza,notes,example
joma,joma,: n =,persimmon,caco,,,,
tamato,tamato,: n =,person,persona,,,,
sonki,sonki,: n =,petal,petalo,,,,
shashin,ʃaʃin,: n =,photograph,fotografia,,,,
laasu,laasu,: n =,phrase,frase,,,,
fuhas,fuhas,: n =,pig,maiale,,,,
hītto,hi:tto,: n =,pigeon,piccione,,,,
karu,karu,: n =,pine,pino,,,,
tolo,tolo,: n =,place,posto,,,,
jotjoi,jotjoi,: n =,plan,programma,,,,
wani,wani,: n =,pond,stagno,,,,
emirako,emirako,: n =,pool,piscina,,,,
sāreo,saːreo,: n =,port,porto,,,,
wataba,wataba,: n =,potato,patata,,,,
pastyensho,pastjenʃo,: n =,power plant,centrale elettrica,,,,
Puraha,Puraha,: n =,Prague,Praga,,,,
tsuki,ʦuki,: n =,prairie,prateria,,,,
dahkei,dahkei,: n =,precipice,precipizio,,,,
mijano,mijano,: n =,precipice,precipizio,,,,
kaida,kai,: n =,price,prezzo,,,,
euna,euna,: n =,pride,orgoglio,,,,
jakusoku,jakusoku,: n =,promise,promessa,,,,
ul,ul,: n =,promontory,promontorio,,,,
tanpakushis,tanpakuʃis,: n =,protein,proteina,,,,
shuspan,ʃuspan,: n =,publication,pubblicazione,,,,
mōs,moos,: adv =,"pure, also","pure, anche",,,,
lātsu,la:ʦu,: n =,quality,qualtà,,,,
dunese,dunese,: adv =,quickly,in fretta,,,,
rekki,rekki,: n =,quill,penna,,,,
jikkosu,ʤikkosu,: v =,quit,smettere,,,,
rikkihan,rikkihan,: n =,rabbit,coniglio,,,,
funsa,funsa,: n =,rain,pioggia,,,,
ahirosuo,ahirosuo,: n =,rainbow,arcobaleno,,,,
samauna,samauna,: adj =,rare,raro,,,,
idalligusu,idalligusu,: v =,reach,raggiungere,,,,
dokusho,dokuʃo,: n =,reading,lettura,,,,
machike,maʧike,: adv =,Really,davvero,,,,
igari,igari,: n =,reason,motivo,,,,
tukeraina,tukeraina,: adj =,reckless,spericolato,,,,
pakkuna,pakkuna,: adj =,red,rosso,,,,
pakku,pakku,: n =,red,rosso,,,,
seryesu,serjesu,: v =,reflect (intr.),riflettere (intr.),,,,
rettausu,rettausu,: v =,remember,ricordare,,,,
kieru,kieru,: n =,request,domanda,,,,
yoyaku,jojaku,: n =,reservation,prenotazione,,,,
tomiri,tomiri,: n =,rest,riposo,,,,
keskwa,keskwa,: n =,result,risultato,,,,
maisu,maisu,: v =,return,tornare,,,,
maesu,maesu,: v =,return (tr.),restituire,,,,
keinolmaisu,keinolmaisu,: v =,rewind,riavvolgere,,,,
konu,konu,: n =,rice,riso,,,,
konunakke,konunakke,: n =,rice bread,pane di riso,,,,
ra,ra,: n =,rice field,risaia,,,,
kenmodo,kenmodo,: n =,right,destra,,,,
atsami,aʦami,: adv =,right away,subito,,,,
koni,koni,: adv =,"right, exactly",proprio,,,,
tamu,tamu,: n =,ring,anello,,,,
sāri,saːri,: n =,river,fiume,,,,
tsoja,ʦoʤa,: n =,roof,tetto,,,,
taina,taina,: n =,room,stanza,,,,
take,take,: n =,room,sala,,,,
koshi,koʃi,: n =,rope,fune,,,,
meira,meira,: n =,rose,rosa,,,,
keilo,keilo,: n =,route,rotta,,,,
koibo,koibo,: n =,sack,sacco,,,,
anðennyasu,anʣeːn jasu,: adj =,Safe,sicuro,,,,
shelkya,ʃelkja,: n =,salad,insalata,鮮菜,,,
gohari,gohari,: n =,salt,sale,,,,
samuna,samuna,: adj =,same,stesso,,,,
jeisei,jeisei,: n =,satellite,satellite,,,,
tanma,tanma,: n =,scarf,sciarpa,,,,
kakkyo,kakkjo,: n =,school,scuola,,,,
bukasha,bukaʃa,: n =,scissors,forbici,,,,
charusu,ʧarusu,: v =,scratch away,grattare via,,,,
huhsu,huhsu,: v =,scream,urlare,,,,
gwamjen,gwamjen,: n =,screen,schermo,,,,
kutoo,kutoo,: n =,sea,mare,,,,
jwaseku,jwaseku,: n =,seat,sedile,,,,
panae,panae,: n =,seaweed,alga,,,,
hanolo,hano,: n =,seed,seme,,,,
[ess]+noissu,[ess]+noissu,: v =,seem,sembrare,,,,
itsi,iʦi,: n =,self,sé stesso,,,,
Soul,Soul,: n =,Seoul,Seoul,,,,
utsirsu,uʦirsu,: v =,separate (tr.),separare (tr.),,,,
irsu,irsu,: v =,serve,servire,,,,
doigi,doigi,: num =,seven,sette,,,,
ðoruna,ʣoruna,: adj =,severe,severo,,,,
hanpa,hanpa,: n =,shadow,ombra,,,,
narsasu,narsasu,: v =,shake,scuotere,,,,
hanna,hanna,: pron =,she,lei,,,,
katara,katara,: n =,shelf,mensola,,,,
nakirisu,nakirisu,: v =,shine,brillare,,,,
sāka,saːka,: n =,ship,nave,,,,
hamijue,hamiʤue,: n =,shoe,scarpa,,,,
inta,inta,: n =,shop,negozio,,,,
egaha,egaha,: n =,shoulder,spalla,,,,
sonukki,sonukki,: n =,shrimp,gamberetto,,,,
nukki,nukki,: n =,shrimp,gambero,,,,
nushi,nuʃi,: n =,side,lato,,,,
kushi,kuʃi,: n =,"side, position","lato, posizione",,,,
hankuri,hankuri,: n =,sigh,sospiro,,,,
shirubi,ʃirubi,: n =,"sign, indication","segno, indicazione",,,,
zahi,zahi,: n =,signal,segnale,,,,
munouttana,munouttana,: adj =,silent,tacente,,,,
hanamikena,hanamikena,: adj =,simple,semplice,,,,
tsonaha,ʦonaha,: num =,six,sei,,,,
kushi,kuʃi,: n =,skin,pelle,,,,
asuna,asuna,: n =,sky,cielo,,,,
asunahiro,asunahiro,: n =,sky blue,azzurro,,,,
pejui,peʤui,: n =,sled,slitta,,,,
wiran,wiran,: v =,sleeve,manica,,,,
shaninana,ʃaninana,: adj =,slimy,viscido,,,,
noke,noke,: n =,slope,pendio,,,,
narona,narona,: adj =,slow,lento,,,,
narobisu,narobisu,: v =,slow down,rallentare,,,,
nokunoku,nokunoku,: adv =,"slowly, lazily","lentamente, pigramente",,,,
kakuina,kakuina,: adj =,small,piccolo,,,,
kuppi,kuppi,: n =,small cup,coppetta,,,,
rintaha,rintaha,: n =,smile,sorriso,,,,
nasamina,nasamina,: adj =,smooth,liscio,,,,
njestoko,njestoko,: n =,snake,serpente,,,,
ðuni,ʣuni,: n =,snow,neve,,,,
ðuntasu,ʣuntasu,: v =,snow,nevicare,,,,
warana,warana,: adj =,soft,molle,,,,
funpana,funpana,: adj =,soft,morbido,,,,
doke,doke,: n =,soil,suolo,,,,
soiki,soiki,: adv =,somehow,in qualche modo,,,,
nagaki,nagaki,: pron =,someone,qualcuno,,,,
nashiki,naʃiki,: pron =,something,qualcosa,,,,
oimas,oimas,: adv =,sometimes,a volte,,,,
kamiki,kamiki,: adv =,somewhere,da qualche parte,,,,
juska,ʤuska,: n =,son,figlio,,,,
airi,airi,: n =,song,canzone,,,,
muno,muno,: n =,sound,suono,,,,
kija,kija,: n =,source,sorgente,,,,
shōyu,ʃoːju,: n =,soy sauce,salsa di soia,,,,
aki,aki,: n =,space,spazio,,,,
kaida,kaida,: n =,spade,spada,,,,
hunutti,hunutti,: n =,spark,scintilla,,,,
beittana,beittana,: adj =,sparse,rado,,,,
kocchi,kocchi,: n =,spray,spruzzo,,,,
kehas,kehas,: n =,spring,primavera,,,,
kikaro,kikaro,: n =,squirrel,scoiattolo,,,,
kichisu,kiʧisu,: v =,stand,stare in piedi,,,,
hanka,hanka,: n =,star,stella,,,,
kifusu,kifusu,: v =,start,partire,,,,
nakena,nakena,: adj =,steep,ripido,,,,
rimero,rimero,: n =,"steering wheel, helm","volante, timone",,,,
chakkajana,ʧakkaʤana,: adj =,sticky,appiccicoso,,,,
wīra,wiira,: conj =,still,ancora,,,,
Stokkuholmi,Stokkuholmi,: n =,Stockholm,Stoccolma,,,,
ponsoto,ponsoto,: n =,stomach,stomaco,,,,
patoro,patoro,: n =,stone,pietra,,,,
kastesu,kastesu,: v =,stop,interrompere,,,,
ohkedos,ohkedos,: n =,storm,temporale,,,,
uutona,u:tona,: adj =,strange,strano,,,,
bimatta,bimatta,: n =,strawberry,fragola,,,,
runka,runka,: n =,street,strada,,,,
dyentēn,djentēn,: n =,street lamp,lampione,,,,
tappeina,tappeina,: adj =,strict,stretto,,,,
tsunto,tsunto,: n =,stride,falcata,,,,
zhukkena,ʒukkena,: adj =,strong,forte,,,,
kaksei,kaksei,: n =,student,studente,,,,
solena,solena,: adj =,such,tale,,,,
rojaste,roʤaste,: adv =,suddenly,improvvisamente,,,,
satā,sataː,: n =,sugar,zucchero,,,,
maakkade,ma:kkade,: n =,suitcase,valigia,,,,
hipa,hipa,: n =,summer,estate,,,,
kwohe,kwohe,: n =,sun,sole,,,,
tsobune,ʦobune,: n =,sunrise,alba,,,,
shinaga,ʃinaga,: n =,sunset,tramonto,,,,
parmiste,parmiste,: n =,Surely,sicuramente,,,,
uni,uni,: n =,swamp,palude,,,,
kwatsi,kwaʦi,: n =,Sweet,dolce,,,,
alkawataba,alkawataba,: n =,sweet potato,patata dolce,,,,
funtwasu,funtwasu,: v =,swell,gonfiarsi,,,,
Siduniː,Siduniː,: n =,Sydney,Sydney,,,,
sawohi,sawohi,: n =,table,tavolo,,,,
noppo,noppo,: n =,table spoon,cucchiaio,,,,
rĪhi,riːhi,: n =,tail,coda,,,,
yukatan tettu,jukatan tettu,: adj =,taken for granted,dato per scontato,,,,
rilĪku,riliːku,: n =,takeoff,decollo,,,,
riljuku,riljuku,: n =,takeoff,decollo,,,,
cha,ʧa,: n =,tea,te,,,,
tsokke,ʦokke,: n =,tear,lacrima,,,,
Tehraːn,Tehraːn,: n =,Tehran,Tehran,,,,
kiba,kiba,: num =,ten,dieci,,,,
chona,ʧona,: n =,that,quello,,,,
kota,kota,: conj =,that (indirect speech),che (discorso indiretto),,,,
notta,notta,: pron =,"that, which, which","che, il quale, la quale",,,,
soaka,soaka,: adv =,the day after tomorrow,dopodomani,,,,
yue,jue,: adv =,then,allora,,,,
chare,ʧare,: conj =,therefore,quindi,,,,
hanni,hanni,: pron =,They,loro,,,,
nazu,nazu,: n =,thing,cosa,,,,
te,te,: n =,"thing, object","cosa, oggetto",,,,
inje,inʤe,: adv =,things like (after a verb in hypothetical form),cose come (dopo verbo in f. ipotetica),,,,
tona,tona,: n =,This,questo,,,,
komo,komo,: n =,this,codesto,,,,
woetto,wosetto,: adv =,this year,quest'anno,,,,
bon,bon,: n =,thousand,mille,,,,
shobe,ʃobe,: num =,Three,tre,,,,
donga,donga,: n =,thunder,tuono,,,,
ita,ita,: n =,thunder,tuono,,,,
taka,taka,: n =,time,tempo,,,,
taka,taka,: n =,time,volta,,,,
gaschuna,gasʧuna,: adj =,tiring,faticoso,,,,
tukososu,tukososu,: v =,to absorb,assorbirsi,,,,
ikurasu,ikurasu,: v =,to accumulate,accumulare,,,,
kosunosu,kosunosu,: v =,to act,agire,,,,
epagoesu,epagoesu,: v =,to add,aggiungere,,,,
ichasu,iʧasu,: v =,to advance,avanzare,,,,
binesu,binesu,: v =,to align,allinearsi,,,,
kadasu,kadasu,: v =,to arrive,arrivare,,,,
kieresu,kieresu,: v =,to ask,domandare,,,,
okasu,okasu,: v =,to attack,attaccare,,,,
paurasu,paurasu,: v =,to avoid,evitare,,,,
ritakusu,ritakusu,: v =,to bake,cuocere al forno,,,,
ossasu,ossasu,: v =,to be able to,riuscire,,,,
oryunsu,orjunsu,: v =,to be born,nascere,,,,
hikiesu,hikiesu,: v =,to be heard,sentirsi,,,,
sumisu,sumisu,: v =,to be hiddem,nascondersi,,,,
suhkasu,suhkasu,: v =,to be missing,mancare,,,,
munouttasu,munouttasu,: v =,to be silent,tacere,,,,
noisu,noisu,: v =,to be visible,vedersi,,,,
noisu,nonessu,: v =,to be visible,mostrare,,,,
hinurasu,hinurasu,: v =,to beam,odiare,,,,
mahsu,mahsu,: v =,to become,diventare,,,,
tsessosu,ʦessosu,: v =,to believe,credere,,,,
namisu,namisu,: v =,to blossom,sbocciare,,,,
nulesu,nulesu,: v =,to boast,vantare,,,,
soresu,soresu,: v =,to break,rompere (tr.),,,,
soreusu,soreusu,: v =,to break (intr),rompersi (intr),,,,
hankisu,hankisu,: v =,to breathe,respirare,,,,
ihmosu,ihmosu,: v =,to breathe in,inspirare,,,,
kukkasu,kukkasu,: v =,to bring,portare,,,,
dzukasu,ʣukasu,: v =,to browse,sfoɡliare,,,,
isomasu,isomasu,: v =,to build,costruire,,,,
moasu,moasu,: v =,to buy,comprare,,,,
nakosu,nakosu,: v =,to call,chiamare,,,,
kausu,kausu,: v =,to cancel oneself,cancellarsi,,,,
tsukasu,ʦukasu,: v =,to catch,acchiappare,,,,
puhansu,puhansu,: v =,to change,cambiare,,,,
surigusu,surigusu,: v =,to chase,rincorrere,,,,
korehasu,korehasu,: v =,to cheat,imbrogliare,,,,
nugisu,nugisu,: v =,to clean,pulire,,,,
horisu,horisu,: v =,to climb,arrampicarsi,,,,
tanawasu,tanawasu,: v =,to close,chiudersi,,,,
tanayasu,tanajasu,: v =,to close,chiudere,,,,
mezukasu,mezukasu,: v =,to collapse,collassare,,,,
happansu,happansu,: v =,to collide,scontrarsi,,,,
esu,esu,: v =,to come,venire,,,,
gakirosu,gakirosu,: v =,to come alive,animarsi,,,,
ogissu,ogissu,: v =,to complain,lamentarsi,,,,
wintosu,wintosu,: v =,to complete,completare,,,,
tawarasu,tawarasu,: v =,to confine,confinare,,,,
sonomulsu,sonomulsu,: v =,to convince,convincere,,,,
nebusu,nebusu,: v =,to cook,cucinare,,,,
niroeyasu,niroejasu,: v =,to cool (tr.),raffreddare (tr.),,,,
niroewasu,niroewasu,: v =,to cool down (intr.),raffreddarsi (intr.),,,,
tsohisu,ʦohisu,: v =,to cough,tossire,,,,
retsagesu,reʦagesu,: v =,to count,contare,,,,
ibesu,ibesu,: v =,to cover,coprire,,,,
tayasu,tajasu,: v =,to cross paths,incrociarsi,,,,
rakkesu,rakkesu,: v =,to crush,pestare,,,,
gewaisu,gewaisu,: v =,to cry,piangere,,,,
dagasu,dagasu,: v =,to cut,tagliare,,,,
yantsasu,janʦasu,: v =,to dance,danzare,,,,
kiyonosu,kijonosu,: v =,to demand,"pretendere, esigere",,,,
pinnasu,pinnasu,: v =,to desire,desiderare,,,,
tereosu,tereosu,: v =,to detach,staccare,,,,
nukorosu,nukorosu,: v =,to die,morire,,,,
shirosu,ʃirosu,: v =,to dig,scavare,,,,
menkisu,menkisu,: v =,to diminish,diminuire,,,,
hyānkyosu,hja:nkjosu,: v =,to direct,dirigere,,,,
mustesu,mustesu,: v =,to dirty,sporcare,,,,
tabirusu,tabirusu,: v =,"to discover, to unmask","scoprire, smascherare",,,,
kachasu,kaʧasu,: v =,to disperse,disperdersi,,,,
tesu,tesu,: v =,to do,fare,,,,
kaimasu,kaimasu,: v =,to draw,disegnare,,,,
eisu,eisu,: v =,to drink,bere,,,,
tohpansu,tohpansu,: v =,to drop,far cadere,,,,
manasu,manasu,: v =,to eat,mangiare,,,,
rindinsu,rindinsu,: v =,to echo,echeggiare,,,,
noissutasu,noissutasu,: v =,to engrave,incidere,,,,
itsasu,iʦasu,: v =,to enter,entrare,,,,
tohpasu,tohpasu,: v =,to fall,cadere,,,,
peritsesu,peritsesu,: v =,to falter,vacillare,,,,
ubeisu,ubeisu,: v =,to fear,temere,,,,
kannosu,kannosu,: v =,"to feel, to perceive","sentire, percepire",,,,
taselsu,taselsu,: v =,to fight,combattere,,,,
takoraisu,takoraisu,: v =,to fill,riempire,,,,
ononosu,ononosu,: v =,to find,trovare,,,,
sebusu,sebusu,: v =,to finish,finire,,,,
hoisu,hoisu,: v =,to float,far galleggiare,,,,
hosu,hosu,: v =,to float,galleggiare,,,,
nebosu,nebosu,: v =,to flow,scorrere,,,,
nulbisu,nulbisu,: v =,to fly,volare,,,,
nungasu,nungasu,: v =,to fold,piegare,,,,
riyasu,rijasu,: v =,to follow,seguire,,,,
karansu,karansu,: v =,to forgive,perdonare,,,,
wapasu,wapasu,: v =,to free (tr),liberare (tr),,,,
wapausu,wapausu,: v =,to free oneself (intr),liberarsi (intr),,,,
rikutsosu,rikuʦosu,: v =,to freeze,congelarsi,,,,
mabasu,mabasu,: v =,to fry,friggere,,,,
ucchasu,uʧʧasu,: v =,to get bored,stufarsi,,,,
rangansu,rangansu,: v =,to get caught,impigliarsi,,,,
haikanessu,haikanessu,: v =,to get closer,avvicinare,,,,
runausu,runausu,: v =,to get lost,perdersi,,,,
maleurasu,maleurasu,: v =,to get stressed,stressarsi,,,,
tashidosu,taʃidosu,: v =,to get up,alzarsi,,,,
tsotasu,ʦotasu,: v =,to give,dare,,,,
rebenosu,rebenosu,: v =,"to give in, to let pass","cedere, far passare",,,,
isu,isu,: v =,to go,andare,,,,
tagulsu,tagulsu,: v =,to go back up,risalire,,,,
raisasu,raisasu,: v =,to go out,uscire,,,,
aburesu,aburesu,: v =,to grant,concedere,,,,
subasu,subasu,: v =,to greet,salutare,,,,
hyānkisu,hja:nkisu,: v =,to head,dirigersi,,,,
hikesu,hikesu,: v =,to hear,sentire,,,,
ibasu,ibasu,: v =,to help,aiutare,,,,
sumesu,sumesu,: v =,to hide,nascondere,,,,
seosu,seosu,: v =,to hit,colpire,,,,
imisu,imisu,: v =,to hold,reggere,,,,
homusu,homusu,: v =,"to hold back, retain",trattenere,,,,
jingoasu,ʤingoasu,: v =,to hurt,ferire,,,,
irunessu,irunessu,: v =,to illuminate,illuminare,,,,
jirohasu,ʤirohasu,: v =,to include,includere,,,,
kankisu,kankisu,: v =,to increase,aumentare,,,,
kasteusu,kasteusu,: v =,to interrupt,interrompersi,,,,
hashisu,haʃisu,: v =,to invite,indicare,,,,
tsadosu,ʧadosu,: v =,to invite,invitare,,,,
lendonsu,lendonsu,: v =,to jump,saltare,,,,
sazoisu,sazoisu,: v =,to kill,uccidere,,,,
korosu,korosu,: v =,to knead,impastare,,,,
odensu,odensu,: v =,to know,conoscere,,,,
hahanasu,hahanasu,: v =,to laugh,ridere,,,,
ufuosu,ufuosu,: v =,to light,leggere,,,,
hĪsu,hiːsu,: v =,to listen,ascoltare,,,,
asahasu,asahasu,: v =,to live,vivere,,,,
paesu,paesu,: v =,to live,vivere,,,,
paikussu,paikussu,: v =,to locate,situare,,,,
erinosu,erinosu,: v =,to look at,riguardare,,,,
onosu,onosu,: v =,to look for,cercare,,,,
runasu,runasu,: v =,to lose,perdere,,,,
havisu,havisu,: v =,to lose (to be defeated),perdere (essere sconfitto),,,,
saisosu,saisosu,: v =,to love,amare,,,,
ugesu,ugesu,: v =,to make,realizzare/creare/fare,,,,
wirhesu,wirhesu,: v =,to make a mistake,sbagliare,,,,
ehtisu,ehtisu,: v =,to make it on time,fare in tempo,,,,
eizasu,eizasu,: v =,to mark,marcare,,,,
kinnosu,kinnosu,: v =,to measure,misurare,,,,
sakesu,sakesu,: v =,to meet,meet,,,,
sekoisu,sekoisu,: v =,to melt,sciogliersi,,,,
ritonsusu,ritonsusu,: v =,to mix,mescolare,,,,
ritonsuesu,ritonsuesu,: v =,to mix,mescolarsi,,,,
jikihasu,ʤikihasu,: v =,to move,spostarsi,,,,
nantausu,nantausu,: v =,to move away (intr),allontanarsi (intr),,,,
nantarsu,nantarsu,: v =,to move away (tr),allontanare (tr),,,,
kaguesu,kaguesu,: v =,to occupy,occupare,,,,
uzemesu,uzemesu,: v =,to ooze,colare,,,,
muiwasu,muiwasu,: v =,to open,aprirsi,,,,
muiyasu,muijasu,: v =,to open,aprire,,,,
nikoresu,nikoresu,: v =,to overcome,superare,,,,
pukesu,pukesu,: v =,to overcome,superare,,,,
sadefusu,sadefusu,: v =,to overlap,sovrapporsi,,,,
telkesu,telkesu,: v =,to overtake,sorpassare,,,,
kichoarsu,kiʧoarsu,: v =,to paint,pitturare,,,,
harasu,harasu,: v =,to parry,parare,,,,
peruyasu,perujasu,: v =,to pass (intr.),passare (intr.),,,,
peruwasu,peruwasu,: v =,to pass (tr.),passare (tr.),,,,
puchoasu,puʧoasu,: v =,to paste,incollare,,,,
istosu,istosu,: v =,to pay,pagare,,,,
ollakisu,ollakisu,: v =,to perceive,percepire,,,,
jĪssu,ʤiːssu,: v =,to press,premere,,,,
abusu,abusu,: v =,"to pretend, to fake",fingere,,,,
piraisu,piraisu,: v =,to proceed,procedere,,,,
tsuruasu,ʦuruasu,: v =,to protect,proteggere,,,,
hengosu,hengosu,: v =,to Pull,tirare,,,,
tyosu,tjosu,: v =,to push,spingere,,,,
gindasu,gindasu,: v =,to put,mettere,,,,
paralsu,paralsu,: v =,to put together,mettere insieme,,,,
okaesu,okaesu,: v =,to put/support,mettere/appoggiare,,,,
pillasu,pillasu,: v =,to raise,alzare,,,,
idarsu,idarsu,: v =,to reach,raggiungere,,,,
rihosu,rihosu,: v =,to reach out,"tendere, allungare",,,,
kinosu,kinosu,: v =,to realize,rendersi conto,,,,
adekasu,adekasu,: v =,to receive,ricevere,,,,
teichorasu,teiʧorasu,: v =,to recover,recuperare,,,,
serwesu,serwesu,: v =,to reflect (tr.),riflettere (tr.),,,,
horomosu,horomosu,: v =,to rejoice,gioire,,,,
mikasu,mikasu,: v =,to remain,rimanere,,,,
hindosu,hindosu,: v =,to remove,togliere,,,,
togosu,togosu,: v =,to remove,rimuovere,,,,
kyubasu,kjubasu,: v =,to repair,riparare,,,,
amasu,amasu,: v =,to report,riferire,,,,
rihtanavusu,rihtanavusu,: v =,to report,denunciare,,,,
ryuchitta,rjuʧitta,: n =,to report,lontra,,,,
kakedesu,kakedesu,: v =,to resemble,assomigliare,,,,
tomisu,tomisu,: v =,to rest,riposare,,,,
tsorasu,ʧorasu,: v =,to return,restituire,,,,
toeyasu,toejasu,: v =,to ride,cavalcare,,,,
zhehkasu,ʒehkasu,: v =,to rip,strappare,,,,
zhehkausu,ʒehkausu,: v =,to rip,strapparsi,,,,
yukasu,jukasu,: v =,to rip,pensare,,,,
tandabasu,tandabasu,: v =,to roll,rotolare,,,,
kenchōsu,kenʧoːsu,: v =,to roll up,arrotolare,,,,
kurisu,kurisu,: v =,to roll up,arrotolare,,,,
minbaesu,minbaesu,: v =,to rotate,ruotare,,,,
tederissu,tederissu,: v =,to rub,strofinare,,,,
rigusu,rigusu,: v =,to run,correre,,,,
tosu,tosu,: v =,to say,dire,,,,
nosu,nosu,: v =,to see,vedere,,,,
ronosu,ronosu,: v =,to send,inviare,,,,
utsissu,uʦissu,: v =,to separate (intr.),separarsi (intr.),,,,
nottosorisu,nottosorisu,: v =,to sew,cucire,,,,
unedasu,unedasu,: v =,to shatter,frantumare,,,,
unedausu,unedausu,: v =,to shatter,frantumarsi,,,,
azesu,azesu,: v =,to shave,rasare,,,,
kiginsu,kiginsu,: v =,to shine,luccicare,,,,
aisu,aisu,: v =,to sing,cantare,,,,
noresu,noresu,: v =,to sink,far affondare,,,,
norisu,norisu,: v =,to sink,affondare,,,,
jokkāsu,ʤokkaasu,: v =,to sit,sedersi,,,,
paikwassu,paikwassu,: v =,to situate oneself,situarsi,,,,
lumasu,lumasu,: v =,to sleep,dormire,,,,
hobonsu,hobonsu,: v =,to smell,odorare,,,,
rinusu,rinusu,: v =,to smile,sorridere,,,,
shahhachasu,ʃahhaʧasu,: v =,to sneeze,starnutire,,,,
rihtasu,rihtasu,: v =,to speak,parlare,,,,
sohpusu,sohpusu,: v =,to spit,sputare,,,,
yakkasu,jakkasu,: v =,to split,dividere,,,,
ichemasu,ichemasu,: v =,to stack up,impilarsi,,,,
noribesu,noribesu,: v =,to stare,fissare con lo sguardo,,,,
gengabosu,gengabosu,: v =,to start,cominciare,,,,
pwikausu,pwikausu,: v =,to start,iniziare,,,,
obasu,obasu,: v =,to stay,stare,,,,
uteposu,uteposu,: v =,to steal,rubare,,,,
ungisu,ungisu,: v =,to stir fry,saltare in padella,,,,
sharusu,ʃarusu,: v =,to stop,fermare,,,,
sharwosu,ʃaruswosu,: v =,to stop,fermarsi,,,,
nabisu,nabisu,: v =,to stretch,allungare,,,,
nabiusu,nabiusu,: v =,to stretch out,allungarsi,,,,
oppisu,oppisu,: v =,to study,studiare,,,,
chusshisu,ʧuʃʃisu,: v =,to suck,succhiare,,,,
tsusshisu,ʧuʃʃisu,: v =,to suck,succhiare,,,,
raikaisu,raikaisu,: v =,to surround,circondare,,,,
emirasu,emirasu,: v =,to swim,nuotare,,,,
teisu,teisu,: v =,to take,prendere,,,,
hakasu,hakasu,: v =,to take (transport),take (transport),,,,
yodonosu,jodonosu,: v =,to taste,assaggiare,,,,
hagiuhsu,hagiuhsu,: v =,to teach,insegnare,,,,
olbikusu,olbikusu,: v =,"to tend, to have the tendency to","tendere, avere la tendenza di",,,,
yosu,josu,: v =,to think,essere,,,,
tsoriosu,tsoriosu,: v =,to throw,lanciare,,,,
nahtesu,nahtesu,: v =,to tie up,allacciare,,,,
denasu,denasu,: v =,to touch,toccare,,,,
koristasu,koristasu,: v =,to touch,sfiorare,,,,
numersu,numersu,: v =,to tow,trainare,,,,
kuzusu,kuzusu,: v =,to transport,trasportare,,,,
māgasu,maːgasu,: v =,to travel,viaggiare,,,,
marawasu,marawasu,: v =,to tremble,tremare,,,,
sogyusu,sogjusu,: v =,to turn off (intr.),spegnersi (intr.),,,,
jakaisu,ʤakaisu,: v =,to turn on,accendere,,,,
mukeminsu,mukeminsu,: adv =,to turn to,rivolgersi,,,,
mukesu,mukesu,: v =,to turn toward,porgere,,,,
shigosu,ʃigosu,: v =,to understand,capire,,,,
razausu,razausu,: v =,to untie oneself,slegarsi,,,,
ematsosu,emaʦosu,: v =,to vanish,svanire,,,,
nijekisu,niʤekisu,: v =,to wait,aspettare,,,,
shogusu,ʃogusu,: v =,to walk,camminare,,,,
jibesu,ʤibesu,: v =,to wash,lavare,,,,
ainosu,ainosu,: v =,to watch,guardare,,,,
tapuisu,tapuisu,: n =,to wear,vestire,,,,
igisu,igisu,: v =,to win,vincere,,,,
olkosu,olkosu,: v =,to work,lavorare,,,,
keinolsu,keinolsu,: v =,to wrap,avvolgere,,,,
ozasu,ozasu,: v =,to write,scrivere,,,,
āngausu,aːngausu,: v =,to yawn,sbadigliare,,,,
lattasuwa,lattasuwa,: n =,toad,rospo,,,,
engai,Engai,: adv =,Today,oggi,,,,
serato,serato,: adv =,Together,insieme,,,,
akae,akae,: adv =,Tomorrow,domani,,,,
nehkeu,nehkeu,: adv =,too,troppo,,,,
ipa,ipa,: n =,tooth,dente,,,,
dyensha,djenʃa,: n =,train,treno,,,,
sayo,sajo,: n =,tree,albero,,,,
sundoe,sundoe,: n =,trunk,tronco,,,,
ronnu,ronnu,: n =,trunk,tronco,,,,
[sit.]+nosu,[sit.]+nosu,: v =,try to,provare a,,,,
hatso,haʦo,: n =,tuna,tonno,,,,
kyonga,kjonga,: n =,turkey,tacchino,,,,
sogisu,sogisu,: v =,turn off (tr.),spegnere (tr.),,,,
umasa,umasa,: n =,turnip,rapa,,,,
shimoro,ʃimoro,: n =,turtle,tartaruga,,,,
kana,kana,: num =,two,due,,,,
takwi,takwi,: n =,type,tipo,,,,
epamuina,epamuina,: adj =,uncomfortable,scomodo,,,,
teano,teano,: n =,under,sotto,,,,
daigaku,daigaku,: n =,university,università,,,,
aste,aste,: adv =,until,fino,,,,
reskori,reskori,: n =,uproar,confusione,,,,
naihi,naihi,: n =,us,noi,,,,
asoara,asoara,: n =,vase,vaso,,,,
un,un,: inter =,verbal suffix that expresses doubt,suffisso verbale che esprime dubbio,,,,
sumata,sumata,: n =,vertical,verticale,,,,
boi,boi,: adv =,Very,molto,,,,
nanti,nanti,: adv =,very quietly,piano piano,,,,
raso,raso,: n =,vice,vizio,,,,
nori,nori,: n =,view,vista,,,,
tashi,taʃi,: n =,village,villaggio,,,,
hantoro,hantoro,: n =,viola,viola,,,,
